id,target
5,0.16176948
6,0.4602096
8,0.015652299
9,0.103282094
11,0.068812996
15,0.07600045
16,0.031401575
17,0.072886795
21,0.4543925
24,0.018473
26,0.018380284
27,0.8876449
28,0.19846511
29,0.050097853
30,0.43240476
31,0.0103627145
32,0.25989407
33,0.15154082
34,0.008267432
35,0.83811295
38,0.0025924146
42,0.18354666
44,0.020030469
45,0.0587129
48,0.28045508
50,0.15546799
53,0.056840897
54,0.06293064
57,0.018961102
59,0.022412866
62,0.06333539
63,0.15105003
64,0.04416558
65,0.015595406
66,0.07033074
70,0.6573628
71,0.050106645
76,0.17084071
78,0.09699577
79,0.28022003
81,0.0154235065
83,0.9696579
85,0.5274335
86,0.635087
88,0.048914522
89,0.062627375
91,0.6439415
93,0.06428519
94,0.93837416
97,0.7352051
99,0.1815503
102,0.19832334
103,0.06782019
104,0.0041962564
107,0.14533013
110,0.514441
114,0.0090277195
119,0.15733403
130,0.7204899
131,0.21633387
132,0.84880126
133,0.0061169565
136,0.2335307
139,0.13541359
143,0.010235995
145,0.0029973388
146,0.038395733
147,0.019395322
148,0.04919052
149,0.0025364459
153,0.009807497
157,0.05897206
160,0.04638794
165,0.13427544
167,0.013534933
170,0.041453212
176,0.23173225
179,0.10991609
180,0.021658957
181,0.024388522
185,0.23668039
187,0.87851727
191,0.7373549
192,0.05915168
193,0.023238868
197,0.94456637
198,0.06302309
199,0.7075968
200,0.07095367
201,0.16520366
202,0.037621856
203,0.35680586
204,0.029072672
206,0.051579565
209,0.0017469525
210,0.7582403
211,0.10134664
213,0.82784796
214,0.031336486
216,0.018198133
221,0.034492195
222,0.090985954
223,0.75496185
226,0.31322658
228,0.85421455
229,0.10847446
233,0.29574433
236,0.9758253
239,0.020475924
242,0.10503656
244,0.69501716
247,0.14032969
250,0.2578082
251,0.016334414
253,0.123084724
258,0.25114977
259,0.31352893
260,0.8765718
261,0.43985027
262,0.017538428
263,0.242601
267,0.2800073
268,0.03760469
269,0.0055000186
271,0.12982333
276,0.49577793
283,0.13210171
286,0.008854061
291,0.13230225
292,0.047892004
293,0.08350727
294,0.021379858
295,0.032406062
298,0.033968776
300,0.55568796
302,0.34097967
304,0.8005022
305,0.31034818
307,0.14886555
309,0.43257666
314,0.046857864
315,0.07015759
316,0.0627521
317,0.11826065
319,0.80605704
320,0.023697436
322,0.010659337
331,0.0054116547
332,0.057626963
333,0.04992047
334,0.037695467
335,0.033113897
339,0.070157826
340,0.03556499
342,0.13141838
344,0.017448783
345,0.03213772
348,0.037988007
349,0.018259585
