id,target
0,7.582399
5,7.6957426
15,7.532951
16,7.46082
17,7.2912617
19,7.4504557
20,7.1542377
21,7.6489687
23,7.1829433
29,7.372891
31,7.492094
32,7.339989
33,7.601724
34,7.4499507
35,7.913615
37,7.4933686
38,7.3074737
39,7.724633
40,7.237112
44,7.3757334
49,7.850397
53,7.7629166
56,7.5126653
60,7.705801
61,7.3250446
63,6.835243
64,7.847483
66,7.131165
70,7.5515985
71,6.9521356
72,7.333147
75,7.7185283
76,7.5668535
78,7.403157
85,7.2304716
86,7.01093
89,7.7389426
90,7.314062
92,7.6453743
93,7.2438536
94,7.5662236
100,7.685135
101,7.548378
102,7.69733
105,7.0296893
106,7.4849596
107,7.3393164
108,7.957538
109,7.7608275
112,7.425015
113,7.817351
116,7.4724593
117,7.2863455
118,7.644621
120,7.4596386
129,7.1532784
130,7.3562436
132,7.395039
133,7.7217884
134,7.4040504
136,7.375306
137,7.7767487
141,7.2145877
142,7.486026
152,7.5453105
154,7.796337
156,7.312832
160,7.349156
161,7.324184
166,7.3198133
170,7.6994495
173,7.352026
174,7.722975
175,7.5980363
179,7.444405
182,7.295815
186,7.0926266
188,7.405512
189,7.1882887
191,7.9969945
193,7.253332
194,7.476038
195,7.6545777
196,7.6950893
197,7.7656507
199,7.7151423
200,7.2296925
202,7.212969
203,7.9532747
204,7.1908736
206,7.808464
207,7.222766
212,7.5701942
217,7.7192845
218,7.442882
220,7.286959
224,7.2778053
225,7.4199166
229,7.554995
230,7.741869
234,7.439131
235,7.4400644
238,7.5683885
239,7.695579
241,7.416502
243,7.251147
245,7.3280854
247,7.5324407
251,7.4668555
252,7.1101413
253,7.5369725
255,7.636048
256,7.292433
258,7.6761928
259,7.310123
260,7.342107
263,7.3587894
264,7.461399
266,7.3096113
267,7.1618514
268,7.083358
270,7.2792716
273,7.4235854
274,7.444845
275,8.237161
276,7.4043736
277,7.599002
281,7.4819098
282,7.480583
285,7.3630295
292,7.271557
293,7.3750443
295,7.7092676
298,7.334686
299,7.6373363
300,7.745025
301,7.4560213
302,7.376975
309,7.750863
311,7.507978
316,7.4095144
317,7.3222814
319,7.855153
321,7.0849886
322,7.7719593
324,7.5050545
328,7.855756
329,8.133809
331,7.135877
334,7.4240227
337,7.12946
338,7.257514
340,7.2352066
344,7.839255
349,7.9880943
350,7.500654
351,7.3278303
354,7.659981
356,7.6144257
358,7.3787827
361,7.471388
364,7.6007304
365,7.356223
370,7.683334
372,7.1456676
374,7.334211
375,7.2563634
376,7.43485
379,7.3354473
380,7.62587
382,7.347271
383,7.408935
385,7.124345
389,6.832345
392,7.08342
394,7.601797
395,7.7493677
398,7.536922
400,7.602047
402,7.6419115
403,6.924372
406,8.149785
410,8.020702
412,7.3932967
413,7.5428915
417,7.613481
418,8.055676
419,7.1986322
420,6.9656997
423,7.2675323
424,7.528512
426,7.7213235
427,7.4748235
432,8.150417
434,7.3424587
438,7.235777
441,7.2769475
443,7.314276
448,7.0355163
449,7.261308
451,7.3115625
452,7.511983
457,7.6039696
458,7.9632454
459,7.467028
464,7.6439986
465,7.7357783
467,7.590153
471,7.3326426
472,7.4467926
477,7.480863
478,7.472142
480,7.3804107
483,7.5796328
487,6.789801
489,7.605237
491,7.582677
492,7.3181777
496,7.456802
500,7.3642745
501,7.537304
502,7.7934136
503,7.536551
505,7.304695
506,7.2578187
514,7.5195284
517,7.439633
519,7.0929165
522,7.1852274
523,7.708117
528,7.7014103
530,7.2512364
532,6.620856
535,7.288894
538,7.1636963
542,7.1296945
546,7.3782477
548,7.489576
550,7.7007546
555,7.6356034
557,7.60726
559,7.652191
560,7.0460525
562,7.322025
566,7.2030497
567,7.3846097
569,7.1903915
571,8.38633
572,7.2419047
574,7.32491
577,7.5260143
581,7.415386
583,7.5737524
587,6.727358
590,6.70218
592,7.6230702
593,7.682449
608,7.524638
612,7.121256
614,7.7462115
616,7.5548244
617,7.334913
625,7.134923
626,7.68843
631,7.498264
633,7.3873243
636,7.873761
639,7.5042987
641,6.907264
642,7.5927453
644,8.021776
645,7.811758
646,7.4220943
647,7.475922
649,7.2658925
650,7.4921274
651,7.3512
653,7.2612915
655,7.6133623
656,7.448533
662,7.682059
669,7.4755926
670,7.4681225
673,7.790287
674,7.398581
675,7.0767245
685,7.1180544
688,8.058708
689,6.920642
690,7.474467
691,7.3389134
696,7.104586
698,7.542108
700,7.1389365
701,7.0599146
702,7.5726223
703,7.365681
704,7.426512
706,7.4930153
708,7.4798155
716,7.3832803
717,7.611629
718,7.442941
719,7.5336523
720,7.2728395
721,7.965241
723,6.9699464
725,7.5256605
726,6.6327953
728,7.5963254
730,7.368871
731,7.4750547
734,7.1688943
736,7.8580084
739,7.444242
743,7.26044
747,7.188819
749,7.4781394
752,7.160962
759,7.7268724
763,7.480738
764,7.1517363
765,7.22749
766,7.885812
769,7.253259
776,7.580315
778,6.9518647
783,7.413954
784,7.2412667
787,7.243139
791,7.5096755
792,7.802946
796,7.629649
799,7.190295
800,7.4603777
801,7.29318
803,7.4472704
804,6.9477115
805,7.5935645
806,7.0524607
807,7.3770914
809,7.984732
811,8.133726
813,7.8268633
814,7.827729
815,7.473878
816,7.6496
818,7.322485
822,7.268731
828,7.325742
831,7.1552157
832,7.016011
834,7.7524524
835,7.5331798
836,7.578652
838,7.8435836
839,7.897866
842,7.0497766
845,7.80866
846,7.5445237
848,7.2407036
852,7.1931677
856,7.2907248
857,7.715717
860,7.311241
869,7.2179737
871,7.809876
876,7.523872
885,6.7446856
887,7.617668
888,7.6208425
889,7.515036
891,7.632519
895,7.818207
902,7.627043
903,7.671102
905,7.5713363
907,7.4598246
908,7.0496316
909,7.8160896
910,6.956645
911,7.90923
913,7.137566
914,7.5010266
916,7.3218727
917,7.57054
919,7.190157
923,7.67288
924,7.565668
925,7.3811026
926,7.298548
929,7.5066457
930,7.7560034
931,7.374687
936,7.3406777
937,7.4553165
947,7.363383
949,7.1454983
952,7.085763
955,7.1422944
956,7.7082596
961,7.509979
963,7.5106864
964,7.379549
966,7.772743
968,7.38543
969,7.771551
971,7.3037624
974,7.777436
980,7.730049
981,7.417825
982,7.544562
983,7.482775
984,7.326925
986,7.060495
992,7.420829
993,7.1899495
994,7.3624053
998,7.6992483
999,7.690966
1004,7.706537
1006,7.415088
1007,7.5973797
1011,7.5023837
1012,7.88896
1014,7.3631926
1020,7.9178777
1021,7.389915
1023,7.475231
1025,7.033864
1026,7.1194453
1027,7.5716743
1033,7.804795
1034,7.492056
1038,7.5691915
1040,7.4331903
1043,7.0987725
1045,7.846404
1046,7.1786513
1048,7.2763457
1049,7.8373337
1052,7.613944
1054,7.2900047
1055,7.526202
1056,7.3592877
1058,7.408107
1060,7.1984057
1064,7.211534
1067,7.6390715
1069,7.0432324
1070,7.364235
1072,7.285033
1077,7.2095838
1082,7.2621274
1086,7.823524
1091,7.722381
1093,7.4418883
1097,7.025866
1101,7.362213
1104,7.3986697
1106,7.495147
1107,7.8824573
