id,target
0,7.596984
5,7.7184544
15,7.566323
16,7.4430323
17,7.189807
19,7.4334126
20,7.217445
21,7.711357
23,7.3221583
29,7.2706842
31,7.4103966
32,7.315675
33,7.543746
34,7.5415215
35,7.902638
37,7.5389204
38,7.436448
39,7.764666
40,7.369257
44,7.320963
49,7.8799963
53,7.6892
56,7.5180216
60,7.605645
61,7.277762
63,6.763946
64,7.804825
66,7.213701
70,7.54441
71,7.0292754
72,7.348375
75,7.7039843
76,7.5406833
78,7.3839607
85,7.2653737
86,7.123602
89,7.9002185
90,7.3546424
92,7.720455
93,7.2968216
94,7.5060506
100,7.59558
101,7.543746
102,7.743096
105,7.092888
106,7.4913507
107,7.3321505
108,7.8446894
109,7.7325335
112,7.5388403
113,7.7537975
116,7.458532
117,7.3036733
118,7.538381
120,7.5458555
129,7.1574383
130,7.428029
132,7.4437747
133,7.8071766
134,7.559028
136,7.381471
137,7.791317
141,7.25284
142,7.5584483
152,7.521745
154,7.7963595
156,7.4203486
160,7.299368
161,7.277953
166,7.349516
170,7.6484303
173,7.3032336
174,7.711384
175,7.6422634
179,7.5152445
182,7.317718
186,7.252626
188,7.4775624
189,7.254255
191,7.9706354
193,7.28985
194,7.4532986
195,7.768285
196,7.699849
197,7.7509384
199,7.662305
200,7.1945267
202,7.190487
203,7.9780664
204,7.1842194
206,7.806836
207,7.376374
212,7.497294
217,7.791144
218,7.5713396
220,7.3063083
224,7.382185
225,7.4039164
229,7.6026435
230,7.5551834
234,7.4180346
235,7.470837
238,7.6790743
239,7.71782
241,7.5397286
243,7.202585
245,7.3026304
247,7.530611
251,7.504961
252,7.3080688
253,7.5668983
255,7.6788664
256,7.356817
258,7.6749735
259,7.37749
260,7.300485
263,7.3968434
264,7.3055735
266,7.3084626
267,7.4424615
268,7.1380544
270,7.211889
273,7.4114347
274,7.406915
275,8.222026
276,7.4375525
277,7.545239
281,7.5576897
282,7.4894404
285,7.474581
292,7.392581
293,7.3123503
295,7.7249274
298,7.3504148
299,7.58682
300,7.6511106
301,7.504658
302,7.4381723
309,7.6748543
311,7.631069
316,7.414823
317,7.3055825
